time_s,temperature_C,pwm,heat_cool
32.53,20.39,158,0
32.65,20.35,158,0
32.77,20.33,159,0
32.89,20.28,158,0
33.02,20.26,159,0
33.14,20.22,158,0
33.26,20.18,158,0
33.38,20.15,158,0
33.51,20.11,159,0
33.63,20.08,158,0
33.75,20.05,158,0
33.87,20.01,158,0
33.99,19.98,159,0
34.12,19.94,159,0
34.24,19.91,159,0
34.36,19.87,159,0
34.48,19.84,159,0
34.61,19.81,158,0
34.73,19.78,158,0
34.85,19.74,159,0
34.97,19.7,159,0
35.1,19.67,159,0
35.22,19.64,158,0
35.34,19.6,158,0
35.46,19.57,158,0
35.59,19.55,157,0
35.71,19.5,160,0
35.83,19.46,156,0
35.95,19.44,166,0
36.07,19.4,173,0
36.2,19.37,181,0
36.32,19.34,202,0
36.44,19.31,216,0
36.56,19.28,228,0
36.69,19.24,229,0
36.81,19.21,234,0
36.93,19.18,232,0
37.05,19.12,245,0
37.18,19.09,221,0
37.3,19.05,227,0
37.42,19.01,185,0
37.54,18.97,112,0
37.67,18.92,80,0
37.79,18.87,77,0
37.91,18.82,83,0
38.03,18.78,75,0
38.15,18.74,82,0
38.28,18.71,71,0
38.4,18.67,79,0
38.52,18.63,64,0
38.64,18.62,87,0
38.77,18.59,81,0
38.89,18.57,81,0
39.01,18.55,81,0
39.13,18.53,82,0
39.26,18.51,82,0
39.38,18.5,84,0
39.5,18.49,149,0
39.62,18.48,164,0
39.74,18.47,186,0
39.87,18.46,203,0
39.99,18.45,211,0
40.11,18.44,214,0
40.23,18.43,213,0
40.36,18.41,213,0
40.48,18.39,213,0
40.6,18.37,214,0
40.72,18.35,213,0
40.85,18.32,213,0
40.97,18.3,213,0
41.09,18.27,213,0
41.21,18.23,213,0
41.33,18.2,213,0
41.46,18.16,213,0
41.58,18.12,214,0
41.7,18.08,213,0
41.82,18.06,213,0
41.95,18.02,213,0
42.07,17.97,213,0
42.19,17.94,213,0
42.31,17.91,213,0
42.44,17.87,213,0
42.56,17.83,214,0
42.68,17.79,213,0
42.8,17.75,213,0
